
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0067                          C21                               25   1      1   1   1 1           1 0 XSIG040056          (4631-25-13)
10-0067                          C21                               25   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0068                          C6                                69   1      1   1   1 1           1 0 VBAT                (4639-1-13)
10-0068                          C6                                69   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C14                               44   1      1   1   1 1           1 0 XSIG011611          (4292-7-13)
10-0096                          C14                               44   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C15                               43   1      1   1   1 1           1 0 XSIG011613          (4292-8-13)
10-0096                          C15                               43   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C26                               45   1      1   1   1 1           1 0 XSIG040071          (4631-31-13)
10-0096                          C26                               45   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C27                               46   1      1   1   1 1           1 0 XSIG040069          (4631-30-13)
10-0096                          C27                               46   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C28                               47   1      1   1   1 1           1 0 XSIG040076          (4631-33-13)
10-0096                          C28                               47   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C29                               48   1      1   1   1 1           1 0 XSIG040074          (4631-32-13)
10-0096                          C29                               48   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0097                          C34                                2   1      1   1   1 1           1 0 XSIG040091          (4696-5-13)
10-0097                          C34                                2   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0097                          C35                                1   1      1   1   1 1           1 0 XSIG030059          (4707-2-13)
10-0097                          C35                                1   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C5                                 9   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C5                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C7                                10   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C7                                10   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C9                                 8   1      1   1   1 1           1 0 XSIG020410          (4631-15-13)
10-0103                          C9                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C23                               40   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0106                          C23                               40   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C24                               39   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0106                          C24                               39   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C25                               38   1      1   1   1 1           1 0 VCC                 (43-2-13)
Schematic Net Listing
