
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
10-0112                          C10                               47   1      2   1   1 2           2 0 XSIG011416          (4228-2-13)
10-0112                          C11                               48   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0112                          C11                               48   1      2   1   1 2           2 0 XSIG011417          (4228-3-13)
20-0004                          D2                                49   1      1   1   1 2           2 0 XSIG020230          (4292-15-13)
20-0004                          D2                                49   1      2   2   1 1           1 0 XSIG020229          (4292-14-13)
20-0009                          D1                                46   1      1   1   1 2           2 0 XSIG020366          (4503-1-13)
20-0009                          D1                                46   1      2   2   1 1           1 0 GND                 (43-1-13)
20-0022                          D7                                43   1      1   1   1 2           2 0 OTG_HS_VBAT         (4264-11-13)
20-0022                          D7                                43   1      2   2   1 1           1 0 XSIG020222          (4292-13-13)
20-0038                          D4                                54   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          D4                                54   1      2   2   1 4           4 0 XSIG020248          (4292-19-13)
20-0038                          D4                                54   1      3   3   1 3           3 0 XSIG020247          (4292-18-13)
20-0038                          D4                                54   1      4   4   1 2           2 0 XSIG020246          (4292-17-13)
30-0010                          Q4                                52   1      1   1   1 3           3 0 XSIG020222          (4292-13-13)
30-0010                          Q4                                52   1      2   2   1 1           1 0 OTG_HS_VBAT         (4264-11-13)
30-0010                          Q4                                52   1      3   3   1 2           2 0 XSIG020286          (4299-1-13)
40-0229                          U6                                50   1      1   1   1 2           2 0 GND                 (43-1-13)
40-0229                          U6                                50   1      2   2   1 5           5 0 XSIG020233          (4292-16-13)
40-0229                          U6                                50   1      3   3   1 1           1 0 XSIG020229          (4292-14-13)
40-0229                          U6                                50   1      4   4   1 3           3 0 XSIG020286          (4299-1-13)
40-0229                          U6                                50   1      5   5   1 4           4 0 OTG_HS_VBAT         (4264-11-13)
40-0287                          U1                                31   1      1   1   1 3           3 0 VCC                 (43-2-13)
40-0287                          U1                                31   1      2   2   1 1           1 0 XSIG020222          (4292-13-13)
40-0287                          U1                                31   1      3   3   1 5           5 0 VCC                 (43-2-13)
40-0287                          U1                                31   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0287                          U1                                 0   3      1   1   3 4           4 1                     (0-0-0)
40-0308                          U7                                 3   1      1   1   1 30         31 0 XSIG020340          (4311-9-13)
40-0308                          U7                                 3   1      2   2   1 47         48 0 XSIG020346          (4311-11-13)
40-0308                          U7                                 3   1      3   3   1 1           2 0 XSIG020337          (4311-8-13)
40-0308                          U7                                 3   1      4   4   1 32         33 0 XSIG020336          (4311-7-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U7                                 3   1      5   5   1 33         34 0 XSIG020335          (4311-6-13)
40-0308                          U7                                 3   1      6   6   1 46         47 0 XSIG020334          (4311-5-13)
40-0308                          U7                                 3   1      7   7   1 2           3 0 XSIG020355          (4311-15-13)
40-0308                          U7                                 3   1      8   8   1 3           4 0 XSIG020357          (4311-16-13)
40-0308                          U7                                 3   1      9   9   1 4           5 0                     (0-0-0)
40-0308                          U7                                 3   1     10  10   1 5           6 0                     (0-0-0)
40-0308                          U7                                 3   1     11  11   1 6           7 0                     (0-0-0)
40-0308                          U7                                 3   1     12  12   1 7           8 0 SPI_NSS             (4311-1-13)
40-0308                          U7                                 3   1     13  13   1 8           9 0 SPI_SCK             (4311-2-13)
40-0308                          U7                                 3   1     14  14   1 9          10 0 SPI_MISO            (4311-4-13)
40-0308                          U7                                 3   1     15  15   1 10         11 0 SPI_MOSI            (4311-3-13)
