
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
80-0071                          U2                                36   2      1   1  17 11_12      11 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  18 1_52        1 0 GND                 (43-1-13)
81-0002                          QZ2                               37   1      1   1   1 1           1 0 XSIG020355          (4311-15-13)
81-0002                          QZ2                               37   1      2   2   1 2           2 0 XSIG020357          (4311-16-13)
81-0021                          QZ1                               40   1      1   1   1 1           1 0 XSIG011611          (4292-7-13)
81-0021                          QZ1                               40   1      2   2   1 3           3 0 XSIG011613          (4292-8-13)
81-0021                          QZ1                               40   2      1   1   2 2           2 0 GND                 (43-1-13)
81-0021                          QZ1                               40   2      1   1   3 4           4 0 GND                 (43-1-13)
83-0025                          QZ3                               60   1      1   1   1 1           1 0 XSIG020350          (4311-13-13)
83-0025                          QZ3                               60   1      2   2   1 3           3 0 XSIG020352          (4311-14-13)
83-0025                          QZ3                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ3                                0   2      1   1   3 4           4 1                     (0-0-0)
