
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0106                          C24                               36   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C25                               38   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0106                          C25                               38   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0107                          C32                               74   1      1   1   1 1           1 0 XSIG020111          (4284-12-13)
10-0107                          C32                               74   1      2   1   1 2           2 0 XSIG020155          (4352-1-13)
10-0107                          C33                               76   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
10-0107                          C33                               76   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0107                          C34                               77   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
10-0107                          C34                               77   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0107                          C35                               75   1      1   1   1 1           1 0 XSIG020139          (4284-18-13)
10-0107                          C35                               75   1      2   1   1 2           2 0 XSIG020157          (4432-1-13)
10-0108                          C30                               63   1      1   1   1 1           1 0 XSIG020111          (4284-12-13)
10-0108                          C30                               63   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0108                          C31                               64   1      1   1   1 1           1 0 XSIG020119          (4284-14-13)
10-0108                          C31                               64   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0109                          C36                               80   1      1   1   1 1           1 0 RFO_HF              (4122-25-13)
10-0109                          C36                               80   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0118                          C27                               59   1      1   1   1 1           1 0 XSIG020119          (4284-14-13)
10-0118                          C27                               59   1      2   1   1 2           2 0 XSIG020116          (4284-13-13)
10-0119                          C28                               60   1      1   1   1 1           1 0 XSIG020116          (4284-13-13)
10-0119                          C28                               60   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0038                          D4                                69   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          D4                                69   1      2   2   1 4           4 0 XSIG011416          (4284-4-13)
20-0038                          D4                                69   1      3   3   1 3           3 0 XSIG011415          (4284-3-13)
20-0038                          D4                                69   1      4   4   1 2           2 0 XSIG011414          (4284-2-13)
