
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
40-0308                          U2                                11   1      4   4   1 32         33 0 XSIG020156          (4194-22-13)
40-0308                          U2                                11   1      5   5   1 33         34 0 XSIG020155          (4194-21-13)
40-0308                          U2                                11   1      6   6   1 46         47 0 XSIG020154          (4194-20-13)
40-0308                          U2                                11   1      7   7   1 2           3 0                     (0-0-0)
40-0308                          U2                                11   1      8   8   1 3           4 0                     (0-0-0)
40-0308                          U2                                11   1      9   9   1 4           5 0                     (0-0-0)
40-0308                          U2                                11   1     10  10   1 5           6 0                     (0-0-0)
40-0308                          U2                                11   1     11  11   1 6           7 0                     (0-0-0)
40-0308                          U2                                11   1     12  12   1 7           8 0 SPI_NSS             (4167-10-13)
40-0308                          U2                                11   1     13  13   1 8           9 0 SPI_SCK             (4134-10-13)
40-0308                          U2                                11   1     14  14   1 9          10 0 SPI_MISO            (4134-11-13)
40-0308                          U2                                11   1     15  15   1 10         11 0 SPI_MOSI            (4134-12-13)
40-0308                          U2                                11   1     16  16   1 11         12 0                     (0-0-0)
40-0308                          U2                                11   1     17  17   1 12         13 0                     (0-0-0)
40-0308                          U2                                11   1     18  18   1 14         15 0                     (0-0-0)
40-0308                          U2                                11   1     19  19   1 15         16 0                     (0-0-0)
40-0308                          U2                                11   1     20  20   1 16         17 0                     (0-0-0)
40-0308                          U2                                11   1     21  21   1 17         18 0                     (0-0-0)
40-0308                          U2                                11   1     22  22   1 18         19 0                     (0-0-0)
40-0308                          U2                                11   1     23  23   1 19         20 0                     (0-0-0)
40-0308                          U2                                11   1     24  24   1 20         21 0                     (0-0-0)
40-0308                          U2                                11   1     25  25   1 21         22 0                     (0-0-0)
40-0308                          U2                                11   1     26  26   1 22         23 0                     (0-0-0)
40-0308                          U2                                11   1     27  27   1 23         24 0                     (0-0-0)
